gene	vegrepl1-mrna-Jan2017-rpkm	0hr mrna rpkm	1.5 hr mrna rpkm	3hr mrna rpkm	4.5hr mrna rpkm	6hr mrna rpkm	8hr mrna rpkm	10hr mrna rpkm	spore mrna rpkm	MATa/a mrna rpkm
YAR029W	118.971568	46.41802407	32.30986575	78.76886005	264.0594655	253.9628386	245.4682336	173.6943061	56.78559502	84.54633653
YAR030C	4.516608277	6.718398221	15.4047038	21.66143651	11.52979436	4.367260904	9.541168089	7.735373957	7.216654567	0.978957581
YAR031W	12.2706747	4.710316096	4.242993006	8.392807505	16.46663265	17.8611839	12.1465055	8.4362832	6.465104644	15.09978852
YAR033W	71.84558283	57.88759397	22.8511636	43.57475019	30.94473663	35.3781988	43.93375074	43.67388139	59.16910837	82.18690389
YAR035C-A	0	0	0	0	0	0	5.963230056	0	0	0
YAR035W	13.16780632	8485.447585	12849.28877	4306.426531	2628.525901	1040.329927	552.9021208	2672.242318	1411.190872	26.87004079
YAR042W	68.88020971	557.373962	304.3776158	224.6354022	215.3080146	111.3398103	93.9412954	171.5513442	227.0925765	63.938167
YAR047C	0	0	0	0	0	0	0	0	0	0
YAR050W	3.453279748	0.832980058	1.273300633	1.193640643	1.082435365	1.871763664	1.646460271	9.353889783	6.937123154	1.26770464
YAR053W	0	0	0	0	0	0	0	0	0	0
YAR060C	0	0	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0	0	0
YAR062W	0	0	0	0	0	0	0	0	0	0
YAR064W	1.340868082	19.94524472	2.613297965	0	2.535487186	1.728707441	0.596323006	1.020639619	0	0
YAR066W	32.06423675	20.81242927	48.28920153	22.07347471	16.97674029	13.77955207	7.000313544	10.65015255	10.34997258	21.22848233
YAR068W	88.38398064	89.8940607	167.839982	90.7644699	83.13541082	39.2814273	24.86079009	60.95087304	99.24311738	53.7047856
YAR069C	0	0	0	0	0	0	0	0	0	0
YAR070C	0	0	0	0	0	0	0	0	0	0
YAR071W	6.464899682	9.972622359	15.86645193	15.47245465	5.704846168	7.820343187	13.73672638	29.16113198	13.60282111	4.359420477
YAR073W	0	0	0	0	0	0	0	0	0	0
YAR075W	0	0	0	0	0	0	0	0	0	0
YBL001C	1822.318598	3743.135809	1173.217063	2208.192322	1512.46285	1285.887167	1022.027476	1527.357172	4299.003576	2224.364381
YBL002W	3767.839311	384.658291	6714.309129	3459.544157	2739.050586	1661.617129	497.0778196	940.4465064	635.2517457	5083.49946
YBL003C	7183.255773	234.4007521	4344.08752	2188.667711	1455.41452	935.847757	259.2158056	608.4095996	551.4318843	7259.836797
YBL004W	103.4105215	97.25926931	31.26662077	61.26754325	27.17091199	22.28546591	41.6702996	71.25500204	43.81493971	46.57566777
YBL005W	44.27526792	81.03146444	58.21892646	59.86886058	29.97014738	14.78824617	10.21911943	28.15557571	36.37653059	28.27929187
YBL005W-A	0	0	0	0	0	0	0	0	0	0
YBL006C	883.4738271	943.4967936	382.4180128	544.8994899	403.4101848	328.4186228	341.0523127	286.5398186	454.6890812	809.2817344
YBL006W-A	0	21.2749277	3.484397287	7.220478838	6.761299162	4.60988651	0	2.721705652	2.539193273	0
YBL007C	123.9071567	1043.339822	295.8466627	266.6567042	157.8335599	90.99351495	92.49091515	166.0351537	197.4974164	113.423224
YBL008W	91.19862815	26.04299919	84.41493549	89.97015653	73.22956413	44.91972239	46.02073768	51.31790924	50.93850574	54.93967179
YBL008W-A	14.30259288	5.318731925	10.45319186	4.512799274	5.40903933	6.914829765	0.795097341	14.96938108	3.80878991	0
YBL009W	76.41111263	70.91642567	180.1067456	119.1873562	331.0875444	258.2799428	226.8387299	186.1696377	39.42126543	79.27023334
YBL010C	167.6855717	69.69372867	219.877484	180.0970009	800.0093514	694.6622086	421.3102001	278.4273598	122.5817442	169.6109648
YBL011W	134.9989634	304.3617208	381.2926174	381.2118113	224.6959093	75.70249004	68.73535378	168.3013903	122.3994798	128.809507
YBL012C	0	0	1.833893309	2.375157512	2.846862805	0	0.836944569	1.432476659	0	0
YBL013W	14.60212362	83.54029201	115.751313	86.05034007	52.568216	16.29148374	16.11008748	36.33690791	6.181805613	12.41635989
YBL014C	71.14560327	80.873869	136.989318	166.7881156	94.98236015	38.52096947	25.59559933	53.78164935	41.47928738	47.98680197
YBL015W	255.5847958	32364.95584	8188.539802	6990.406184	5209.160924	2582.172919	2103.573509	3112.890446	1414.886571	285.6065297
YBL016W	164.758162	489.1959423	95.45579394	114.9547791	157.6556823	176.3902683	197.8221228	131.2774792	681.4769013	182.9390342
YBL017C	129.1359107	906.8437932	121.6188668	117.8534887	72.73597599	53.78200928	59.44881655	97.45799852	117.0958744	92.82212217
YBL018C	352.8600217	64.38464962	191.6418508	178.1368134	125.6178213	164.1766599	138.9327985	131.7878526	267.9517112	358.951113
YBL019W	82.86083	198.0988777	65.09772177	83.77052544	54.98110337	36.80548112	24.66230075	43.02576599	81.19336575	67.1983058
YBL020W	156.9419651	104.0746463	169.3228736	150.166445	95.68152003	84.63917755	63.69374373	117.5482603	98.54814975	76.07646931
YBL021C	300.3544504	206.7922972	286.8355847	407.6682352	436.1849315	404.932431	382.410017	229.9296934	240.1061159	280.4909261
YBL022C	216.3684439	368.109723	233.0855349	272.7610419	325.1614374	176.657141	152.5816064	250.8171474	128.2133049	136.4960379
YBL023C	118.893462	73.67289451	224.8236553	184.3390799	95.1360186	41.59214448	31.24198738	75.20755546	68.90814254	54.55180583
YBL024W	439.9179868	133.8106312	94.44135633	107.5720659	70.79477946	58.05814836	42.5970702	105.173603	178.4329029	295.5551194
YBL025W	175.3770317	124.1037449	148.5016939	233.376191	178.0475446	155.4922037	86.70347192	95.90772296	159.0018645	156.4778229
YBL026W	654.9082002	562.665851	243.4493368	476.6941127	619.1926601	968.0761671	860.5882533	543.624892	593.3693755	1062.168975
YBL027W	12110.08952	2346.499379	782.7596023	1295.226483	1287.908173	1692.099519	1190.962276	1783.357603	3763.980617	19129.7525
YBL028C	1001.181501	304.4515516	148.9880219	248.9820289	239.6763979	282.9516548	416.7406751	281.5557571	1217.061603	1141.667082
YBL029C-A	246.0045975	5140.022532	1000.718901	1314.849196	974.1679833	835.3114356	629.081016	976.5479878	884.6549365	255.4426648
YBL029W	109.6732437	93.85997515	179.7831878	171.410527	187.1573062	216.6775788	156.8813913	138.1437154	259.0403894	140.1527226
YBL030C	3052.694719	8501.076879	5204.570811	4875.634372	3275.679846	1275.504719	1370.545717	2772.589714	1367.852376	2854.103353
YBL031W	77.0053394	6.002330699	119.2778005	68.07395017	41.96668445	27.02347265	23.77814618	30.97113328	27.70029026	59.18243557
YBL032W	290.3979493	354.3862266	650.2924882	740.7971934	695.2558011	415.3991656	351.3363829	358.1824786	148.9847103	295.445071
YBL033C	430.0649285	1212.86666	810.6033443	828.2509391	666.506472	585.0030826	771.9273262	489.4060899	922.0542936	545.4535429
YBL034C	33.96147807	43.78875681	184.4351656	171.7038567	119.8569257	73.99268977	46.42857564	70.1194448	44.05347366	20.48013333
YBL035C	75.839186	58.61459672	450.8891358	187.0114544	194.1458759	146.1589382	62.37921119	105.0991002	118.7054348	58.83734849
